datetime,total_demand_kwh,stress_event
2013-01-18 19:00:00,464.916,1
2013-02-05 19:00:00,458.238,1
2013-02-05 19:30:00,457.803,1
2013-01-18 18:30:00,457.741,1
2013-01-17 19:30:00,454.107,1
2013-01-18 19:30:00,452.529,1
2013-02-05 20:00:00,446.926,1
2013-01-13 18:00:00,445.909,1
2013-02-05 18:30:00,445.888,1
2013-01-17 19:00:00,445.821,1
2013-01-21 19:00:00,443.979,1
2013-01-21 19:30:00,443.365,1
2013-01-22 19:00:00,442.193,1
2013-01-20 17:00:00,440.915,1
2013-01-13 18:30:00,440.197,1
2013-03-11 19:30:00,439.335,1
2013-02-05 18:00:00,438.898,1
2013-01-23 18:30:00,438.815,1
2013-01-23 19:00:00,438.405,1
2013-01-15 19:00:00,438.314,1
